"transcript","gene","Gene"
"Peer2.0.1.fasta019601-RA","POLE2"," DNA polymerase epsilon subunit 2 (Mus musculus)"
"Peer2.0.1.fasta019602-RA","UBE2V2"," Ubiquitin-conjugating enzyme E2 variant 2 (Mus musculus)"
"Peer2.0.1.fasta019600-RA","DNAAF2"," Protein kintoun (Rattus norvegicus)"
"Peer2.0.1.fasta019598-RA","LRR1"," Leucine-rich repeat protein 1 (Homo sapiens)"
"Peer2.0.1.fasta019599-RA","MGAT2"," Alpha-1%2C6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase (Rattus norvegicus)"
"Peer2.0.1.fasta019597-RA","RPS29"," 40S ribosomal protein S29 (Pongo abelii)"
"Peer2.0.1.fasta019607-RA","LRRC7"," Leucine-rich repeat-containing protein 7 (Rattus norvegicus)"
"Peer2.0.1.fasta019606-RA","RPS3A"," 40S ribosomal protein S3a (Mus musculus)"
"Peer2.0.1.fasta019605-RA","NEMF"," Nuclear export mediator factor NEMF (Homo sapiens)"
"Peer2.0.1.fasta019604-RA","KLHDC2"," Kelch domain-containing protein 2 (Homo sapiens)"
"Peer2.0.1.fasta019603-RA","GPX8"," Probable glutathione peroxidase 8 (Bos taurus)"
"Peer2.0.1.fasta019608-RA","EMD"," Emerin (Rattus norvegicus)"
"Peer2.0.1.fasta019613-RA","L2HGDH"," L-2-hydroxyglutarate dehydrogenase%2C mitochondrial (Mus musculus)"
"Peer2.0.1.fasta019615-RA","TET2"," Methylcytosine dioxygenase TET2 (Mus musculus)"
"Peer2.0.1.fasta019614-RA","COX6A1"," Cytochrome c oxidase subunit 6A1%2C mitochondrial (Mus musculus)"
"Peer2.0.1.fasta019617-RA","CDKL1"," Cyclin-dependent kinase-like 1 (Homo sapiens)"
"Peer2.0.1.fasta019619-RA","RPS2"," 40S ribosomal protein S2 (Mus musculus)"
"Peer2.0.1.fasta019616-RA","CDKL1"," Cyclin-dependent kinase-like 1 (Rattus norvegicus)"
"Peer2.0.1.fasta019620-RA","RPL35A"," 60S ribosomal protein L35a (Pongo abelii)"
"Peer2.0.1.fasta019618-RA","MAP4K5"," Mitogen-activated protein kinase kinase kinase kinase 5 (Mus musculus)"
"Peer2.0.1.fasta019621-RA","MAP4K5"," Mitogen-activated protein kinase kinase kinase kinase 5 (Mus musculus)"
"Peer2.0.1.fasta019623-RA","SAV1"," Protein salvador homolog 1 (Rattus norvegicus)"
"Peer2.0.1.fasta019622-RA","ATL1"," Atlastin-1 (Rattus norvegicus)"
"Peer2.0.1.fasta019610-RA","SOS2"," Son of sevenless homolog 2 (Mus musculus)"
"Peer2.0.1.fasta019609-RA","VCPKMT"," Protein-lysine methyltransferase METTL21D (Mus musculus)"
"Peer2.0.1.fasta019612-RA","CLIC4"," Chloride intracellular channel protein 4 (Homo sapiens)"
"Peer2.0.1.fasta019611-RA","CLCN5"," H(+)/Cl(-) exchange transporter 5 (Cavia porcellus)"
"Peer2.0.1.fasta019625-RA","HSPE1"," 10 kDa heat shock protein%2C mitochondrial (Homo sapiens)"
"Peer2.0.1.fasta019624-RA","NIN"," Ninein (Mus musculus)"
"Peer2.0.1.fasta019629-RA","TRIM9"," E3 ubiquitin-protein ligase TRIM9 (Mus musculus)"
"Peer2.0.1.fasta019630-RA","TRIM9"," E3 ubiquitin-protein ligase TRIM9 (Mus musculus)"
"Peer2.0.1.fasta019631-RA","ITPRIP"," Inositol 1%2C4%2C5-trisphosphate receptor-interacting protein (Bos taurus)"
"Peer2.0.1.fasta019626-RA","ALDH6A1"," Methylmalonate-semialdehyde dehydrogenase [acylating]%2C mitochondrial (Bos taurus)"
"Peer2.0.1.fasta019628-RA","PYGL"," Glycogen phosphorylase%2C liver form (Bos taurus)"
"Peer2.0.1.fasta019627-RA","ABHD12B"," Protein ABHD12B (Homo sapiens)"
"Peer2.0.1.fasta019632-RA","TMX1"," Thioredoxin-related transmembrane protein 1 (Mus musculus)"
"Peer2.0.1.fasta019633-RA","HSPE1"," 10 kDa heat shock protein%2C mitochondrial (Homo sapiens)"
"Peer2.0.1.fasta019638-RA","PSMA3"," Proteasome subunit alpha type-3 (Bos taurus)"
"Peer2.0.1.fasta019641-RA","TPCN1"," Two pore calcium channel protein 1 (Rattus norvegicus)"
"Peer2.0.1.fasta019642-RA","TIMM9"," Mitochondrial import inner membrane translocase subunit Tim9 (Bos taurus)"
"Peer2.0.1.fasta019639-RA","ARID4A"," AT-rich interactive domain-containing protein 4A (Homo sapiens)"
"Peer2.0.1.fasta019640-RA","ARID4A"," AT-rich interactive domain-containing protein 4A (Mus musculus)"
"Peer2.0.1.fasta019643-RA","PPIH"," Peptidyl-prolyl cis-trans isomerase H (Homo sapiens)"
"Peer2.0.1.fasta019637-RA","ACTR10"," Actin-related protein 10 (Mus musculus)"
"Peer2.0.1.fasta019635-RA","FRMD6"," FERM domain-containing protein 6 (Mus musculus)"
"Peer2.0.1.fasta019636-RA","CYTH4"," Cytohesin-4 (Homo sapiens)"
"Peer2.0.1.fasta019634-RA","FRMD6"," FERM domain-containing protein 6 (Mus musculus)"
"Peer2.0.1.fasta019644-RA","TALPID3"," Protein TALPID3 (Mus musculus)"
"Peer2.0.1.fasta019646-RA","CNN3"," Calponin-3 (Rattus norvegicus)"
"Peer2.0.1.fasta019645-RA","DACT1"," Dapper homolog 1 (Mus musculus)"
"Peer2.0.1.fasta019649-RA","GPR135"," G-protein coupled receptor 135 (Rattus norvegicus)"
"Peer2.0.1.fasta019648-RA","DAAM1"," Disheveled-associated activator of morphogenesis 1 (Homo sapiens)"
"Peer2.0.1.fasta019647-RA","DAAM1"," Disheveled-associated activator of morphogenesis 1 (Homo sapiens)"
"Peer2.0.1.fasta019650-RA","L3HYPDH"," Trans-L-3-hydroxyproline dehydratase (Mus musculus)"
"Peer2.0.1.fasta019651-RA","JKAMP"," JNK1/MAPK8-associated membrane protein (Homo sapiens)"
"Peer2.0.1.fasta019652-RA","RTN1"," Reticulon-1 (Mus musculus)"
"Peer2.0.1.fasta019654-RA","LRRC9"," Leucine-rich repeat-containing protein 9 (Mus musculus)"
"Peer2.0.1.fasta019653-RA","SCGN"," Secretagogin (Rattus norvegicus)"
"Peer2.0.1.fasta019658-RA","DHRS7"," Dehydrogenase/reductase SDR family member 7 (Mus musculus)"
"Peer2.0.1.fasta019659-RA","DHRS7"," Dehydrogenase/reductase SDR family member 7 (Mus musculus)"
"Peer2.0.1.fasta019657-RA","PCNX4"," Pecanex-like protein 4 (Mus musculus)"
"Peer2.0.1.fasta019655-RA","LRRC9"," Leucine-rich repeat-containing protein 9 (Mus musculus)"
"Peer2.0.1.fasta019656-RA",NA,NA
"Peer2.0.1.fasta019661-RA","SIX6OS1"," Protein SIX6OS1 (Mus musculus)"
"Peer2.0.1.fasta019662-RA","RPS10P5"," Putative 40S ribosomal protein S10-like (Homo sapiens)"
"Peer2.0.1.fasta019660-RA","PPM1A"," Protein phosphatase 1A (Oryctolagus cuniculus)"
"Peer2.0.1.fasta019664-RA","SIX1"," Homeobox protein SIX1 (Homo sapiens)"
"Peer2.0.1.fasta019663-RA","SIX6"," Homeobox protein SIX6 (Mus musculus)"
"Peer2.0.1.fasta019666-RA","MNAT1"," CDK-activating kinase assembly factor MAT1 (Homo sapiens)"
"Peer2.0.1.fasta019665-RA","SIX4"," Homeobox protein SIX4 (Homo sapiens)"
"Peer2.0.1.fasta019667-RA","COX7C"," Cytochrome c oxidase subunit 7C%2C mitochondrial (Tarsius syrichta)"
"Peer2.0.1.fasta019668-RA","TRMT5"," tRNA (guanine(37)-N1)-methyltransferase (Mus musculus)"
"Peer2.0.1.fasta019670-RA","SLC38A6"," Probable sodium-coupled neutral amino acid transporter 6 (Mus musculus)"
"Peer2.0.1.fasta019669-RA","SLC38A6"," Probable sodium-coupled neutral amino acid transporter 6 (Mus musculus)"
"Peer2.0.1.fasta019672-RA","PRKCH"," Protein kinase C eta type (Homo sapiens)"
"Peer2.0.1.fasta019671-RA","TMEM30B"," Cell cycle control protein 50B (Mus musculus)"
"Peer2.0.1.fasta019673-RA","PRKCH"," Protein kinase C eta type (Homo sapiens)"
"Peer2.0.1.fasta019674-RA","PRKCH"," Protein kinase C eta type (Homo sapiens)"
"Peer2.0.1.fasta019678-RA","UBE2V1"," Ubiquitin-conjugating enzyme E2 variant 1 (Bos taurus)"
"Peer2.0.1.fasta019675-RA","HIF1A"," Hypoxia-inducible factor 1-alpha (Mus musculus)"
"Peer2.0.1.fasta019676-RA","SNAPC1"," snRNA-activating protein complex subunit 1 (Mus musculus)"
"Peer2.0.1.fasta019677-RA","RPL38"," 60S ribosomal protein L38 (Mus musculus)"
"Peer2.0.1.fasta019679-RA","SYT16"," Synaptotagmin-16 (Mus musculus)"
"Peer2.0.1.fasta019680-RA","PUTATIVE UPF0730 PROTEIN ENCODED BY LINC00643 HOMOLOG (MUS MUSCULUS)",NA
"Peer2.0.1.fasta019681-RA","SRSF10"," Serine/arginine-rich splicing factor 10 (Mus musculus)"
"Peer2.0.1.fasta019682-RA","KCNH5"," Potassium voltage-gated channel subfamily H member 5 (Mus musculus)"
"Peer2.0.1.fasta019683-RA","RHOQ"," Rho-related GTP-binding protein RhoQ (Rattus norvegicus)"
"Peer2.0.1.fasta019684-RA","RHOJ"," Rho-related GTP-binding protein RhoJ (Mus musculus)"
"Peer2.0.1.fasta019685-RA","GPHB5"," Glycoprotein hormone beta-5 (Homo sapiens)"
"Peer2.0.1.fasta019689-RA","WDR89"," WD repeat-containing protein 89 (Mus musculus)"
"Peer2.0.1.fasta019688-RA","RPS17"," 40S ribosomal protein S17 (Homo sapiens)"
"Peer2.0.1.fasta019687-RA","PPP2R5E"," Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit epsilon isoform (Bos taurus)"
"Peer2.0.1.fasta019690-RA","SGPP1"," Sphingosine-1-phosphate phosphatase 1 (Mus musculus)"
"Peer2.0.1.fasta019691-RA","RPS25"," 40S ribosomal protein S25 (Bos taurus)"
"Peer2.0.1.fasta019686-RA","PPP2R5E"," Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit epsilon isoform (Bos taurus)"
"Peer2.0.1.fasta019693-RA","SYNE2"," Nesprin-2 (Mus musculus)"
"Peer2.0.1.fasta019692-RA","RPS25"," 40S ribosomal protein S25 (Bos taurus)"
"Peer2.0.1.fasta019696-RA","SYNE2"," Nesprin-2 (Mus musculus)"
"Peer2.0.1.fasta019694-RA","SYNE2"," Nesprin-2 (Mus musculus)"
"Peer2.0.1.fasta019695-RA","SYNE2"," Nesprin-2 (Mus musculus)"
"Peer2.0.1.fasta019697-RA","ESR2"," Estrogen receptor beta (Mus musculus)"
"Peer2.0.1.fasta019705-RA","ZBTB25"," Zinc finger and BTB domain-containing protein 25 (Homo sapiens)"
"Peer2.0.1.fasta019704-RA","AKAP5"," A-kinase anchor protein 5 (Mus musculus)"
"Peer2.0.1.fasta019701-RA","NLRP4E"," NACHT%2C LRR and PYD domains-containing protein 4E (Mus musculus)"
"Peer2.0.1.fasta019702-RA","MTHFD1"," C-1-tetrahydrofolate synthase%2C cytoplasmic (Pongo abelii)"
"Peer2.0.1.fasta019703-RA","MTHFD1"," C-1-tetrahydrofolate synthase%2C cytoplasmic (Pongo abelii)"
"Peer2.0.1.fasta019700-RA","STD2"," 3-beta-hydroxysteroid sulfotransferase (Cavia porcellus)"
"Peer2.0.1.fasta019699-RA","MTHFD1"," C-1-tetrahydrofolate synthase%2C cytoplasmic (Pongo abelii)"
"Peer2.0.1.fasta019698-RA","CCDC170"," Coiled-coil domain-containing protein 170 (Homo sapiens)"
"Peer2.0.1.fasta019706-RA","ZBTB1"," Zinc finger and BTB domain-containing protein 1 (Mus musculus)"
"Peer2.0.1.fasta019708-RA","PPP1R36"," Protein phosphatase 1 regulatory subunit 36 (Rattus norvegicus)"
"Peer2.0.1.fasta019707-RA","HSPA2"," Heat shock-related 70 kDa protein 2 (Fragments) (Mesocricetus auratus)"
"Peer2.0.1.fasta019710-RA","SPTB"," Spectrin beta chain%2C erythrocytic (Homo sapiens)"
"Peer2.0.1.fasta019711-RA","RAB15"," Ras-related protein Rab-15 (Mus musculus)"
"Peer2.0.1.fasta019713-RA","MAX"," Protein max (Felis catus)"
"Peer2.0.1.fasta019712-RA","NNMT"," Nicotinamide N-methyltransferase (Homo sapiens)"
"Peer2.0.1.fasta019714-RA","VPS18"," Vacuolar protein sorting-associated protein 18 homolog (Homo sapiens)"
"Peer2.0.1.fasta019715-RA","CALM2"," Calmodulin-2 (Mus musculus)"
"Peer2.0.1.fasta019716-RA",NA,NA
"Peer2.0.1.fasta019717-RA","HELZ"," Probable helicase with zinc finger domain (Homo sapiens)"
"Peer2.0.1.fasta019718-RA","FUT8"," Alpha-(1%2C6)-fucosyltransferase (Rattus norvegicus)"
"Peer2.0.1.fasta019709-RA","PLEKHG3"," Pleckstrin homology domain-containing family G member 3 (Mus musculus)"
"Peer2.0.1.fasta019719-RA","FUT8"," Alpha-(1%2C6)-fucosyltransferase (Rattus norvegicus)"
"Peer2.0.1.fasta019720-RA","SPCS1"," Signal peptidase complex subunit 1 (Mus musculus)"
"Peer2.0.1.fasta019722-RA","GPHN"," Gephyrin (Homo sapiens)"
"Peer2.0.1.fasta019721-RA","CCDC196"," Putative coiled-coil domain-containing protein 196 (Homo sapiens)"
"Peer2.0.1.fasta019724-RA","ABCB11"," Bile salt export pump (Oryctolagus cuniculus)"
"Peer2.0.1.fasta019723-RA","GPHN"," Gephyrin (Homo sapiens)"
"Peer2.0.1.fasta019728-RA","MPP5"," MAGUK p55 subfamily member 5 (Canis lupus familiaris)"
"Peer2.0.1.fasta019727-RA","MPP5"," MAGUK p55 subfamily member 5 (Canis lupus familiaris)"
"Peer2.0.1.fasta019726-RA","FAM71D"," Protein FAM71D (Homo sapiens)"
"Peer2.0.1.fasta019725-RA","GPHN"," Gephyrin (Homo sapiens)"
"Peer2.0.1.fasta019732-RA","ATG2B"," Autophagy-related protein 2 homolog B (Homo sapiens)"
"Peer2.0.1.fasta019733-RA","HISTONE H3.1 (RATTUS NORVEGICUS)",NA
"Peer2.0.1.fasta019731-RA","PLEK2"," Pleckstrin-2 (Homo sapiens)"
"Peer2.0.1.fasta019730-RA","EIF2S1"," Eukaryotic translation initiation factor 2 subunit 1 (Pongo abelii)"
"Peer2.0.1.fasta019729-RA","ATP6V1D"," V-type proton ATPase subunit D (Homo sapiens)"
"Peer2.0.1.fasta019736-RA","ARG2"," Arginase-2%2C mitochondrial (Mus musculus)"
"Peer2.0.1.fasta019738-RA","RDH11"," Retinol dehydrogenase 11 (Mus musculus)"
"Peer2.0.1.fasta019737-RA","VTI1B"," Vesicle transport through interaction with t-SNAREs homolog 1B (Mus musculus)"
"Peer2.0.1.fasta019740-RA","ZFYVE26"," Zinc finger FYVE domain-containing protein 26 (Rattus norvegicus)"
"Peer2.0.1.fasta019739-RA","RDH12"," Retinol dehydrogenase 12 (Mus musculus)"
"Peer2.0.1.fasta019741-RA","ZFYVE26"," Zinc finger FYVE domain-containing protein 26 (Rattus norvegicus)"
"Peer2.0.1.fasta019742-RA","RAD51B"," DNA repair protein RAD51 homolog 2 (Homo sapiens)"
"Peer2.0.1.fasta019743-RA","PPM1D"," Protein phosphatase 1D (Mus musculus)"
"Peer2.0.1.fasta019744-RA","RAD51B"," DNA repair protein RAD51 homolog 2 (Mus musculus)"
"Peer2.0.1.fasta019735-RA","PLEKHH1"," Pleckstrin homology domain-containing family H member 1 (Mus musculus)"
"Peer2.0.1.fasta019734-RA","PIGH"," Phosphatidylinositol N-acetylglucosaminyltransferase subunit H (Homo sapiens)"
"Peer2.0.1.fasta019746-RA","DCAF5"," DDB1- and CUL4-associated factor 5 (Mus musculus)"
"Peer2.0.1.fasta019745-RA","ACTN1"," Alpha-actinin-1 (Macaca fascicularis)"
"Peer2.0.1.fasta019747-RA","EXD2"," Exonuclease 3'-5' domain-containing protein 2 (Mus musculus)"
"Peer2.0.1.fasta019748-RA","GALNT16"," Polypeptide N-acetylgalactosaminyltransferase 16 (Mus musculus)"
"Peer2.0.1.fasta019749-RA","ERH"," Enhancer of rudimentary homolog (Bos taurus)"
"Peer2.0.1.fasta019750-RA","GAPDH"," Glyceraldehyde-3-phosphate dehydrogenase (Pongo abelii)"
"Peer2.0.1.fasta019751-RA","CCDC177"," Coiled-coil domain-containing protein 177 (Homo sapiens)"
"Peer2.0.1.fasta019755-RA","RPL11"," 60S ribosomal protein L11 (Chinchilla lanigera)"
"Peer2.0.1.fasta019756-RA","SMOC1"," SPARC-related modular calcium-binding protein 1 (Mus musculus)"
"Peer2.0.1.fasta019753-RA","SRSF5"," Serine/arginine-rich splicing factor 5 (Homo sapiens)"
"Peer2.0.1.fasta019754-RA","SLC10A1"," Sodium/bile acid cotransporter (Rattus norvegicus)"
"Peer2.0.1.fasta019752-RA","RPL17"," 60S ribosomal protein L17 (Felis catus)"
"Peer2.0.1.fasta019757-RA","SLC8A3"," Sodium/calcium exchanger 3 (Mus musculus)"
"Peer2.0.1.fasta019758-RA","ADAM20"," Disintegrin and metalloproteinase domain-containing protein 20 (Homo sapiens)"
"Peer2.0.1.fasta019761-RA","ADAM21"," Disintegrin and metalloproteinase domain-containing protein 21 (Mus musculus)"
"Peer2.0.1.fasta019760-RA","SYNJ2BP"," Synaptojanin-2-binding protein (Mus musculus)"
"Peer2.0.1.fasta019759-RA",NA,NA
"Peer2.0.1.fasta019762-RA","MED6"," Mediator of RNA polymerase II transcription subunit 6 (Homo sapiens)"
"Peer2.0.1.fasta019763-RA","TTC9"," Tetratricopeptide repeat protein 9A (Mus musculus)"
"Peer2.0.1.fasta019764-RA","TTC9"," Tetratricopeptide repeat protein 9A (Mus musculus)"
"Peer2.0.1.fasta019765-RA","MAP3K9"," Mitogen-activated protein kinase kinase kinase 9 (Mus musculus)"
"Peer2.0.1.fasta019767-RA","PCNX1"," Pecanex-like protein 1 (Mus musculus)"
"Peer2.0.1.fasta019766-RA","PCNX1"," Pecanex-like protein 1 (Mus musculus)"
"Peer2.0.1.fasta019769-RA",NA,NA
"Peer2.0.1.fasta019770-RA","DPF3"," Zinc finger protein DPF3 (Homo sapiens)"
"Peer2.0.1.fasta019768-RA","RGS6"," Regulator of G-protein signaling 6 (Mus musculus)"
"Peer2.0.1.fasta019773-RA","RBM25"," RNA-binding protein 25 (Homo sapiens)"
"Peer2.0.1.fasta019772-RA","ZFYVE1"," Zinc finger FYVE domain-containing protein 1 (Pongo abelii)"
"Peer2.0.1.fasta019771-RA","DCAF4"," DDB1- and CUL4-associated factor 4 (Homo sapiens)"
"Peer2.0.1.fasta019775-RA","PAPLN"," Papilin (Mus musculus)"
"Peer2.0.1.fasta019774-RA","PSEN1"," Presenilin-1 (Rattus norvegicus)"
"Peer2.0.1.fasta019778-RA","RIOX1"," Ribosomal oxygenase 1 (Mus musculus)"
"Peer2.0.1.fasta019779-RA","HEATR4"," HEAT repeat-containing protein 4 (Homo sapiens)"
"Peer2.0.1.fasta019780-RA","ACOT2"," Acyl-coenzyme A thioesterase 2%2C mitochondrial (Rattus norvegicus)"
"Peer2.0.1.fasta019781-RA","FBH1"," F-box DNA helicase 1 (Homo sapiens)"
"Peer2.0.1.fasta019782-RA","ACOT6"," Acyl-coenzyme A thioesterase 6 (Mus musculus)"
"Peer2.0.1.fasta019783-RA","DNAL1"," Dynein light chain 1%2C axonemal (Mus musculus)"
"Peer2.0.1.fasta019784-RA",NA,NA
"Peer2.0.1.fasta019786-RA","ZNF410"," Zinc finger protein 410 (Mus musculus)"
"Peer2.0.1.fasta019785-RA","PTGR2"," Prostaglandin reductase 2 (Homo sapiens)"
"Peer2.0.1.fasta019776-RA","NUMB"," Protein numb homolog (Mus musculus)"
"Peer2.0.1.fasta019777-RA","GAPDH"," Glyceraldehyde-3-phosphate dehydrogenase (Pongo abelii)"
"Peer2.0.1.fasta019791-RA","LIN52"," Protein lin-52 homolog (Mus musculus)"
"Peer2.0.1.fasta019787-RA","FAM161B"," Protein FAM161B (Mus musculus)"
"Peer2.0.1.fasta019788-RA","COQ6"," Ubiquinone biosynthesis monooxygenase COQ6%2C mitochondrial (Rattus norvegicus)"
"Peer2.0.1.fasta019790-RA","BBOF1"," Basal body-orientation factor 1 (Mus musculus)"
"Peer2.0.1.fasta019789-RA","ENTPD5"," Ectonucleoside triphosphate diphosphohydrolase 5 (Rattus norvegicus)"
"Peer2.0.1.fasta019794-RA","CROCC"," Rootletin (Mus musculus)"
"Peer2.0.1.fasta019793-RA","VRTN"," Vertnin (Mus musculus)"
"Peer2.0.1.fasta019792-RA","ABCD4"," Lysosomal cobalamin transporter ABCD4 (Mus musculus)"
"Peer2.0.1.fasta019796-RA","LTBP2"," Latent-transforming growth factor beta-binding protein 2 (Homo sapiens)"
"Peer2.0.1.fasta019795-RA","ISCA2"," Iron-sulfur cluster assembly 2 homolog%2C mitochondrial (Mus musculus)"
"Peer2.0.1.fasta019797-RA","LTBP2"," Latent-transforming growth factor beta-binding protein 2 (Mus musculus)"
"Peer2.0.1.fasta019800-RA","FCF1"," rRNA-processing protein FCF1 homolog (Mus musculus)"
"Peer2.0.1.fasta019799-RA","AREL1"," Apoptosis-resistant E3 ubiquitin protein ligase 1 (Mus musculus)"
"Peer2.0.1.fasta019798-RA","AREL1"," Apoptosis-resistant E3 ubiquitin protein ligase 1 (Mus musculus)"
"Peer2.0.1.fasta019803-RA","DLST"," Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex%2C mitochondrial (Bos taurus)"
"Peer2.0.1.fasta019804-RA","RPS6KL1"," Ribosomal protein S6 kinase-like 1 (Mus musculus)"
"Peer2.0.1.fasta019805-RA","PGF"," Placenta growth factor (Rattus norvegicus)"
"Peer2.0.1.fasta019801-RA","YLPM1"," YLP motif-containing protein 1 (Mus musculus)"
"Peer2.0.1.fasta019802-RA","PROX2"," Prospero homeobox protein 2 (Mus musculus)"
"Peer2.0.1.fasta019810-RA","NEK9"," Serine/threonine-protein kinase Nek9 (Mus musculus)"
"Peer2.0.1.fasta019812-RA","FOS"," Proto-oncogene c-Fos (Phodopus roborovskii)"
"Peer2.0.1.fasta019811-RA","GAPDH"," Glyceraldehyde-3-phosphate dehydrogenase (Pongo abelii)"
"Peer2.0.1.fasta019807-RA","MLH3"," DNA mismatch repair protein Mlh3 (Homo sapiens)"
"Peer2.0.1.fasta019809-RA","ZC2HC1C"," Zinc finger C2HC domain-containing protein 1C (Mus musculus)"
"Peer2.0.1.fasta019806-RA","EIF2B2"," Translation initiation factor eIF-2B subunit beta (Rattus norvegicus)"
"Peer2.0.1.fasta019808-RA","ACYP1"," Acylphosphatase-1 (Homo sapiens)"
"Peer2.0.1.fasta019813-RA","JDP2"," Jun dimerization protein 2 (Mus musculus)"
"Peer2.0.1.fasta019817-RA","ERG28"," Ergosterol biosynthetic protein 28 homolog (Homo sapiens)"
"Peer2.0.1.fasta019814-RA","FLVCR2"," Feline leukemia virus subgroup C receptor-related protein 2 (Mus musculus)"
"Peer2.0.1.fasta019816-RA","FLVCR2"," Feline leukemia virus subgroup C receptor-related protein 2 (Mus musculus)"
"Peer2.0.1.fasta019815-RA","FLVCR2"," Feline leukemia virus subgroup C receptor-related protein 2 (Mus musculus)"
"Peer2.0.1.fasta019818-RA","TTLL5"," Tubulin polyglutamylase TTLL5 (Mus musculus)"
"Peer2.0.1.fasta019819-RA","TTLL5"," Tubulin polyglutamylase TTLL5 (Mus musculus)"
"Peer2.0.1.fasta019820-RA","TGFB3"," Transforming growth factor beta-3 proprotein (Rattus norvegicus)"
"Peer2.0.1.fasta019821-RA","IFT43"," Intraflagellar transport protein 43 homolog (Mus musculus)"
"Peer2.0.1.fasta019822-RA","GPATCH2L"," G patch domain-containing protein 2-like (Homo sapiens)"
"Peer2.0.1.fasta019823-RA","ESRRB"," Steroid hormone receptor ERR2 (Rattus norvegicus)"
"Peer2.0.1.fasta019827-RA","LRRC74A"," Leucine-rich repeat-containing protein 74A (Rattus norvegicus)"
"Peer2.0.1.fasta019828-RA","RPS24"," 40S ribosomal protein S24 (Mus musculus)"
"Peer2.0.1.fasta019826-RA","ANGEL1"," Protein angel homolog 1 (Homo sapiens)"
"Peer2.0.1.fasta019825-RA","VASH1"," Tubulinyl-Tyr carboxypeptidase 1 (Mus musculus)"
"Peer2.0.1.fasta019824-RA","VASH1"," Tubulinyl-Tyr carboxypeptidase 1 (Mus musculus)"
"Peer2.0.1.fasta019829-RA","TPCN1"," Two pore calcium channel protein 1 (Rattus norvegicus)"
"Peer2.0.1.fasta019830-RA","IRF2BPL"," Probable E3 ubiquitin-protein ligase IRF2BPL (Homo sapiens)"
"Peer2.0.1.fasta019831-RA","RPL26L1"," 60S ribosomal protein L26-like 1 (Homo sapiens)"
"Peer2.0.1.fasta019832-RA","CIPC"," CLOCK-interacting pacemaker (Mus musculus)"
"Peer2.0.1.fasta019833-RA","ZDHHC22"," Palmitoyltransferase ZDHHC22 (Homo sapiens)"
"Peer2.0.1.fasta019835-RA","TMEM63C"," Calcium permeable stress-gated cation channel 1 (Mus musculus)"
"Peer2.0.1.fasta019834-RA","TMEM63C"," Calcium permeable stress-gated cation channel 1 (Mus musculus)"
"Peer2.0.1.fasta019839-RA","SUSD1"," Sushi domain-containing protein 1 (Homo sapiens)"
"Peer2.0.1.fasta019836-RA","POMT2"," Protein O-mannosyl-transferase 2 (Mus musculus)"
"Peer2.0.1.fasta019837-RA","GSTZ1"," Maleylacetoacetate isomerase (Rattus norvegicus)"
"Peer2.0.1.fasta019840-RA","SAMD15"," Sterile alpha motif domain-containing protein 15 (Mus musculus)"
"Peer2.0.1.fasta019843-RA","NOXRED1"," NADP-dependent oxidoreductase domain-containing protein 1 (Mus musculus)"
"Peer2.0.1.fasta019838-RA","TMED8"," Protein TMED8 (Mus musculus)"
"Peer2.0.1.fasta019841-RA","SAMD15"," Sterile alpha motif domain-containing protein 15 (Mus musculus)"
"Peer2.0.1.fasta019842-RA","FAM118B"," Protein FAM118B (Bos taurus)"
